zone_id,borough,pickup_date,pickup_hour,vehicle_type,trip_count,trip_price
1,EWR,2025-10-16,0,yellow,0,
1,EWR,2025-10-16,0,green,0,
1,EWR,2025-10-16,0,hvfhv,0,
1,EWR,2025-10-16,0,other_fhv,2,
1,EWR,2025-10-16,1,yellow,0,
1,EWR,2025-10-16,1,green,0,
1,EWR,2025-10-16,1,hvfhv,0,
1,EWR,2025-10-16,1,other_fhv,1,
1,EWR,2025-10-16,2,yellow,0,
1,EWR,2025-10-16,2,green,0,
1,EWR,2025-10-16,2,hvfhv,0,
1,EWR,2025-10-16,2,other_fhv,0,
1,EWR,2025-10-16,3,yellow,0,
1,EWR,2025-10-16,3,green,0,
1,EWR,2025-10-16,3,hvfhv,0,
1,EWR,2025-10-16,3,other_fhv,0,
1,EWR,2025-10-16,4,yellow,0,
1,EWR,2025-10-16,4,green,0,
1,EWR,2025-10-16,4,hvfhv,0,
1,EWR,2025-10-16,4,other_fhv,0,
1,EWR,2025-10-16,5,yellow,1,3.0
1,EWR,2025-10-16,5,green,0,
1,EWR,2025-10-16,5,hvfhv,0,
1,EWR,2025-10-16,5,other_fhv,0,
1,EWR,2025-10-16,6,yellow,0,
1,EWR,2025-10-16,6,green,0,
1,EWR,2025-10-16,6,hvfhv,0,
1,EWR,2025-10-16,6,other_fhv,1,
1,EWR,2025-10-16,7,yellow,2,89.15
1,EWR,2025-10-16,7,green,0,
1,EWR,2025-10-16,7,hvfhv,0,
1,EWR,2025-10-16,7,other_fhv,0,
1,EWR,2025-10-16,8,yellow,1,140.0
1,EWR,2025-10-16,8,green,0,
1,EWR,2025-10-16,8,hvfhv,0,
1,EWR,2025-10-16,8,other_fhv,0,
1,EWR,2025-10-16,9,yellow,1,145.0
1,EWR,2025-10-16,9,green,0,
1,EWR,2025-10-16,9,hvfhv,0,
1,EWR,2025-10-16,9,other_fhv,0,
1,EWR,2025-10-16,10,yellow,1,120.0
1,EWR,2025-10-16,10,green,0,
1,EWR,2025-10-16,10,hvfhv,0,
1,EWR,2025-10-16,10,other_fhv,0,
1,EWR,2025-10-16,11,yellow,2,85.0
1,EWR,2025-10-16,11,green,0,
1,EWR,2025-10-16,11,hvfhv,0,
1,EWR,2025-10-16,11,other_fhv,0,
1,EWR,2025-10-16,12,yellow,1,119.0
1,EWR,2025-10-16,12,green,0,
1,EWR,2025-10-16,12,hvfhv,0,
1,EWR,2025-10-16,12,other_fhv,0,
1,EWR,2025-10-16,13,yellow,0,
1,EWR,2025-10-16,13,green,0,
1,EWR,2025-10-16,13,hvfhv,0,
1,EWR,2025-10-16,13,other_fhv,0,
1,EWR,2025-10-16,14,yellow,4,113.0
1,EWR,2025-10-16,14,green,0,
1,EWR,2025-10-16,14,hvfhv,0,
1,EWR,2025-10-16,14,other_fhv,1,
1,EWR,2025-10-16,15,yellow,3,111.67
1,EWR,2025-10-16,15,green,0,
1,EWR,2025-10-16,15,hvfhv,0,
1,EWR,2025-10-16,15,other_fhv,1,
1,EWR,2025-10-16,16,yellow,3,124.33
1,EWR,2025-10-16,16,green,0,
1,EWR,2025-10-16,16,hvfhv,0,
1,EWR,2025-10-16,16,other_fhv,2,
1,EWR,2025-10-16,17,yellow,3,116.67
1,EWR,2025-10-16,17,green,0,
1,EWR,2025-10-16,17,hvfhv,0,
1,EWR,2025-10-16,17,other_fhv,0,
1,EWR,2025-10-16,18,yellow,1,120.0
1,EWR,2025-10-16,18,green,0,
1,EWR,2025-10-16,18,hvfhv,0,
1,EWR,2025-10-16,18,other_fhv,1,
1,EWR,2025-10-16,19,yellow,1,75.0
1,EWR,2025-10-16,19,green,0,
1,EWR,2025-10-16,19,hvfhv,0,
1,EWR,2025-10-16,19,other_fhv,2,
1,EWR,2025-10-16,20,yellow,0,
1,EWR,2025-10-16,20,green,0,
1,EWR,2025-10-16,20,hvfhv,0,
1,EWR,2025-10-16,20,other_fhv,1,
1,EWR,2025-10-16,21,yellow,0,
1,EWR,2025-10-16,21,green,0,
1,EWR,2025-10-16,21,hvfhv,0,
1,EWR,2025-10-16,21,other_fhv,2,
1,EWR,2025-10-16,22,yellow,0,
1,EWR,2025-10-16,22,green,0,
1,EWR,2025-10-16,22,hvfhv,0,
1,EWR,2025-10-16,22,other_fhv,2,
1,EWR,2025-10-16,23,yellow,0,
1,EWR,2025-10-16,23,green,0,
1,EWR,2025-10-16,23,hvfhv,0,
1,EWR,2025-10-16,23,other_fhv,4,
2,Queens,2025-10-16,0,yellow,0,
2,Queens,2025-10-16,0,green,0,
2,Queens,2025-10-16,0,hvfhv,0,
2,Queens,2025-10-16,0,other_fhv,0,
2,Queens,2025-10-16,1,yellow,0,
2,Queens,2025-10-16,1,green,0,
2,Queens,2025-10-16,1,hvfhv,0,
2,Queens,2025-10-16,1,other_fhv,0,
2,Queens,2025-10-16,2,yellow,0,
2,Queens,2025-10-16,2,green,0,
2,Queens,2025-10-16,2,hvfhv,0,
2,Queens,2025-10-16,2,other_fhv,0,
2,Queens,2025-10-16,3,yellow,0,
2,Queens,2025-10-16,3,green,0,
2,Queens,2025-10-16,3,hvfhv,0,
2,Queens,2025-10-16,3,other_fhv,0,
2,Queens,2025-10-16,4,yellow,0,
2,Queens,2025-10-16,4,green,0,
2,Queens,2025-10-16,4,hvfhv,0,
2,Queens,2025-10-16,4,other_fhv,0,
2,Queens,2025-10-16,5,yellow,0,
2,Queens,2025-10-16,5,green,0,
2,Queens,2025-10-16,5,hvfhv,0,
2,Queens,2025-10-16,5,other_fhv,0,
2,Queens,2025-10-16,6,yellow,0,
2,Queens,2025-10-16,6,green,0,
2,Queens,2025-10-16,6,hvfhv,0,
2,Queens,2025-10-16,6,other_fhv,0,
2,Queens,2025-10-16,7,yellow,0,
2,Queens,2025-10-16,7,green,0,
2,Queens,2025-10-16,7,hvfhv,0,
2,Queens,2025-10-16,7,other_fhv,0,
2,Queens,2025-10-16,8,yellow,0,
2,Queens,2025-10-16,8,green,0,
2,Queens,2025-10-16,8,hvfhv,0,
2,Queens,2025-10-16,8,other_fhv,0,
2,Queens,2025-10-16,9,yellow,0,
2,Queens,2025-10-16,9,green,0,
2,Queens,2025-10-16,9,hvfhv,0,
2,Queens,2025-10-16,9,other_fhv,0,
2,Queens,2025-10-16,10,yellow,0,
2,Queens,2025-10-16,10,green,0,
2,Queens,2025-10-16,10,hvfhv,0,
2,Queens,2025-10-16,10,other_fhv,0,
2,Queens,2025-10-16,11,yellow,0,
2,Queens,2025-10-16,11,green,0,
2,Queens,2025-10-16,11,hvfhv,0,
2,Queens,2025-10-16,11,other_fhv,0,
2,Queens,2025-10-16,12,yellow,0,
2,Queens,2025-10-16,12,green,0,
2,Queens,2025-10-16,12,hvfhv,0,
2,Queens,2025-10-16,12,other_fhv,0,
2,Queens,2025-10-16,13,yellow,0,
2,Queens,2025-10-16,13,green,0,
2,Queens,2025-10-16,13,hvfhv,0,
2,Queens,2025-10-16,13,other_fhv,0,
2,Queens,2025-10-16,14,yellow,0,
2,Queens,2025-10-16,14,green,0,
2,Queens,2025-10-16,14,hvfhv,1,31.12
2,Queens,2025-10-16,14,other_fhv,0,
2,Queens,2025-10-16,15,yellow,0,
2,Queens,2025-10-16,15,green,0,
2,Queens,2025-10-16,15,hvfhv,0,
2,Queens,2025-10-16,15,other_fhv,0,
2,Queens,2025-10-16,16,yellow,0,
2,Queens,2025-10-16,16,green,0,
2,Queens,2025-10-16,16,hvfhv,0,
2,Queens,2025-10-16,16,other_fhv,0,
2,Queens,2025-10-16,17,yellow,0,
2,Queens,2025-10-16,17,green,0,
2,Queens,2025-10-16,17,hvfhv,0,
2,Queens,2025-10-16,17,other_fhv,0,
2,Queens,2025-10-16,18,yellow,0,
2,Queens,2025-10-16,18,green,0,
2,Queens,2025-10-16,18,hvfhv,0,
2,Queens,2025-10-16,18,other_fhv,0,
2,Queens,2025-10-16,19,yellow,0,
2,Queens,2025-10-16,19,green,0,
2,Queens,2025-10-16,19,hvfhv,0,
2,Queens,2025-10-16,19,other_fhv,0,
2,Queens,2025-10-16,20,yellow,0,
2,Queens,2025-10-16,20,green,0,
2,Queens,2025-10-16,20,hvfhv,0,
2,Queens,2025-10-16,20,other_fhv,0,
2,Queens,2025-10-16,21,yellow,0,
2,Queens,2025-10-16,21,green,0,
2,Queens,2025-10-16,21,hvfhv,0,
2,Queens,2025-10-16,21,other_fhv,0,
2,Queens,2025-10-16,22,yellow,0,
2,Queens,2025-10-16,22,green,0,
2,Queens,2025-10-16,22,hvfhv,0,
2,Queens,2025-10-16,22,other_fhv,0,
2,Queens,2025-10-16,23,yellow,0,
2,Queens,2025-10-16,23,green,0,
2,Queens,2025-10-16,23,hvfhv,0,
2,Queens,2025-10-16,23,other_fhv,0,
3,Bronx,2025-10-16,0,yellow,0,
3,Bronx,2025-10-16,0,green,0,
3,Bronx,2025-10-16,0,hvfhv,28,12.72
3,Bronx,2025-10-16,0,other_fhv,0,
3,Bronx,2025-10-16,1,yellow,0,
3,Bronx,2025-10-16,1,green,0,
3,Bronx,2025-10-16,1,hvfhv,14,17.96
3,Bronx,2025-10-16,1,other_fhv,0,
3,Bronx,2025-10-16,2,yellow,0,
3,Bronx,2025-10-16,2,green,0,
3,Bronx,2025-10-16,2,hvfhv,8,24.74
3,Bronx,2025-10-16,2,other_fhv,0,
3,Bronx,2025-10-16,3,yellow,0,
3,Bronx,2025-10-16,3,green,0,
3,Bronx,2025-10-16,3,hvfhv,10,30.93
3,Bronx,2025-10-16,3,other_fhv,0,
3,Bronx,2025-10-16,4,yellow,0,
3,Bronx,2025-10-16,4,green,0,
3,Bronx,2025-10-16,4,hvfhv,21,22.95
